Startup instruction trace: 437 entries captured in 3.001s from IP=$8000 after 109 vblank starts
#7870 IP=$802B PC=$90CC A=$00 X=$FF Y=$FE SP=$FD P=$04 CYC=27506 PPU=F0 S241 D337 VB=true OK=true Instruction { opcode: JSR, addressing_mode: Absolute, low_byte: Some(204), high_byte: Some(144) }
#7871 IP=$90CC PC=$90CE A=$00 X=$07 Y=$FE SP=$FD P=$04 CYC=27508 PPU=F0 S242 D2 VB=true OK=true Instruction { opcode: LDX, addressing_mode: Immediate, low_byte: Some(7), high_byte: None }
#7872 IP=$90CE PC=$90D0 A=$00 X=$07 Y=$FE SP=$FD P=$06 CYC=27510 PPU=F0 S242 D8 VB=true OK=true Instruction { opcode: LDA, addressing_mode: Immediate, low_byte: Some(0), high_byte: None }
#7873 IP=$90D0 PC=$90D2 A=$00 X=$07 Y=$FE SP=$FD P=$06 CYC=27513 PPU=F0 S242 D17 VB=true OK=true Instruction { opcode: STA, addressing_mode: Zeropage, low_byte: Some(6), high_byte: None }
#7874 IP=$90D2 PC=$90D4 A=$00 X=$07 Y=$FE SP=$FD P=$06 CYC=27516 PPU=F0 S242 D26 VB=true OK=true Instruction { opcode: STX, addressing_mode: Zeropage, low_byte: Some(7), high_byte: None }
#7875 IP=$90D4 PC=$90D6 A=$00 X=$07 Y=$FE SP=$FD P=$05 CYC=27518 PPU=F0 S242 D32 VB=true OK=true Instruction { opcode: CPX, addressing_mode: Immediate, low_byte: Some(1), high_byte: None }
#7876 IP=$90D6 PC=$90DC A=$00 X=$07 Y=$FE SP=$FD P=$05 CYC=27521 PPU=F0 S242 D41 VB=true OK=true Instruction { opcode: BNE, addressing_mode: Relative, low_byte: Some(4), high_byte: None }
#7877 IP=$90DC PC=$90DE A=$00 X=$07 Y=$FE SP=$FD P=$05 CYC=27527 PPU=F0 S242 D59 VB=true OK=true Instruction { opcode: STA, addressing_mode: IndirectYIndexed, low_byte: Some(6), high_byte: None }
#7878 IP=$90DE PC=$90DF A=$00 X=$07 Y=$FD SP=$FD P=$85 CYC=27529 PPU=F0 S242 D65 VB=true OK=true Instruction { opcode: DEY, addressing_mode: Implied, low_byte: None, high_byte: None }
#7879 IP=$90DF PC=$90E1 A=$00 X=$07 Y=$FD SP=$FD P=$84 CYC=27531 PPU=F0 S242 D71 VB=true OK=true Instruction { opcode: CPY, addressing_mode: Immediate, low_byte: Some(255), high_byte: None }
#7880 IP=$90E1 PC=$90D4 A=$00 X=$07 Y=$FD SP=$FD P=$84 CYC=27534 PPU=F0 S242 D80 VB=true OK=true Instruction { opcode: BNE, addressing_mode: Relative, low_byte: Some(241), high_byte: None }
... repeated previous loop body 253 more times; middle removed ...
#9399 IP=$90D4 PC=$90D6 A=$00 X=$07 Y=$00 SP=$FD P=$05 CYC=32090 PPU=F1 S20 D108 VB=false OK=true Instruction { opcode: CPX, addressing_mode: Immediate, low_byte: Some(1), high_byte: None }
#9400 IP=$90D6 PC=$90DC A=$00 X=$07 Y=$00 SP=$FD P=$05 CYC=32093 PPU=F1 S20 D117 VB=false OK=true Instruction { opcode: BNE, addressing_mode: Relative, low_byte: Some(4), high_byte: None }
#9401 IP=$90DC PC=$90DE A=$00 X=$07 Y=$00 SP=$FD P=$05 CYC=32099 PPU=F1 S20 D135 VB=false OK=true Instruction { opcode: STA, addressing_mode: IndirectYIndexed, low_byte: Some(6), high_byte: None }
#9402 IP=$90DE PC=$90DF A=$00 X=$07 Y=$FF SP=$FD P=$85 CYC=32101 PPU=F1 S20 D141 VB=false OK=true Instruction { opcode: DEY, addressing_mode: Implied, low_byte: None, high_byte: None }
#9403 IP=$90DF PC=$90E1 A=$00 X=$07 Y=$FF SP=$FD P=$07 CYC=32103 PPU=F1 S20 D147 VB=false OK=true Instruction { opcode: CPY, addressing_mode: Immediate, low_byte: Some(255), high_byte: None }
#9404 IP=$90E1 PC=$90E3 A=$00 X=$07 Y=$FF SP=$FD P=$07 CYC=32105 PPU=F1 S20 D153 VB=false OK=true Instruction { opcode: BNE, addressing_mode: Relative, low_byte: Some(241), high_byte: None }
#9405 IP=$90E3 PC=$90E4 A=$00 X=$06 Y=$FF SP=$FD P=$05 CYC=32107 PPU=F1 S20 D159 VB=false OK=true Instruction { opcode: DEX, addressing_mode: Implied, low_byte: None, high_byte: None }
#9406 IP=$90E4 PC=$90D2 A=$00 X=$06 Y=$FF SP=$FD P=$05 CYC=32110 PPU=F1 S20 D168 VB=false OK=true Instruction { opcode: BPL, addressing_mode: Relative, low_byte: Some(236), high_byte: None }
#9419 IP=$90E1 PC=$90D4 A=$00 X=$06 Y=$FD SP=$FD P=$84 CYC=32149 PPU=F1 S20 D285 VB=false OK=true Instruction { opcode: BNE, addressing_mode: Relative, low_byte: Some(241), high_byte: None }
#9425 IP=$90E1 PC=$90D4 A=$00 X=$06 Y=$FC SP=$FD P=$84 CYC=32167 PPU=F1 S20 D339 VB=false OK=true Instruction { opcode: BNE, addressing_mode: Relative, low_byte: Some(241), high_byte: None }
#9431 IP=$90E1 PC=$90D4 A=$00 X=$06 Y=$FB SP=$FD P=$84 CYC=32185 PPU=F1 S21 D52 VB=false OK=true Instruction { opcode: BNE, addressing_mode: Relative, low_byte: Some(241), high_byte: None }
#9437 IP=$90E1 PC=$90D4 A=$00 X=$06 Y=$FA SP=$FD P=$84 CYC=32203 PPU=F1 S21 D106 VB=false OK=true Instruction { opcode: BNE, addressing_mode: Relative, low_byte: Some(241), high_byte: None }
#9443 IP=$90E1 PC=$90D4 A=$00 X=$06 Y=$F9 SP=$FD P=$84 CYC=32221 PPU=F1 S21 D160 VB=false OK=true Instruction { opcode: BNE, addressing_mode: Relative, low_byte: Some(241), high_byte: None }
#9449 IP=$90E1 PC=$90D4 A=$00 X=$06 Y=$F8 SP=$FD P=$84 CYC=32239 PPU=F1 S21 D214 VB=false OK=true Instruction { opcode: BNE, addressing_mode: Relative, low_byte: Some(241), high_byte: None }
#9455 IP=$90E1 PC=$90D4 A=$00 X=$06 Y=$F7 SP=$FD P=$84 CYC=32257 PPU=F1 S21 D268 VB=false OK=true Instruction { opcode: BNE, addressing_mode: Relative, low_byte: Some(241), high_byte: None }
#9461 IP=$90E1 PC=$90D4 A=$00 X=$06 Y=$F6 SP=$FD P=$84 CYC=32275 PPU=F1 S21 D322 VB=false OK=true Instruction { opcode: BNE, addressing_mode: Relative, low_byte: Some(241), high_byte: None }
#9467 IP=$90E1 PC=$90D4 A=$00 X=$06 Y=$F5 SP=$FD P=$84 CYC=32293 PPU=F1 S22 D35 VB=false OK=true Instruction { opcode: BNE, addressing_mode: Relative, low_byte: Some(241), high_byte: None }
#9468 IP=$90D4 PC=$90D6 A=$00 X=$06 Y=$F5 SP=$FD P=$05 CYC=32295 PPU=F1 S22 D41 VB=false OK=true Instruction { opcode: CPX, addressing_mode: Immediate, low_byte: Some(1), high_byte: None }
#9469 IP=$90D6 PC=$90DC A=$00 X=$06 Y=$F5 SP=$FD P=$05 CYC=32298 PPU=F1 S22 D50 VB=false OK=true Instruction { opcode: BNE, addressing_mode: Relative, low_byte: Some(4), high_byte: None }
#9470 IP=$90DC PC=$90DE A=$00 X=$06 Y=$F5 SP=$FD P=$05 CYC=32304 PPU=F1 S22 D68 VB=false OK=true Instruction { opcode: STA, addressing_mode: IndirectYIndexed, low_byte: Some(6), high_byte: None }
#9471 IP=$90DE PC=$90DF A=$00 X=$06 Y=$F4 SP=$FD P=$85 CYC=32306 PPU=F1 S22 D74 VB=false OK=true Instruction { opcode: DEY, addressing_mode: Implied, low_byte: None, high_byte: None }
#9472 IP=$90DF PC=$90E1 A=$00 X=$06 Y=$F4 SP=$FD P=$84 CYC=32308 PPU=F1 S22 D80 VB=false OK=true Instruction { opcode: CPY, addressing_mode: Immediate, low_byte: Some(255), high_byte: None }
